outlet_id,Outlet,City,Phone_no,Link,Address,Address_link,num_employee
61,SUBHANPURA, VADODARA,6353534845,https://www.facebook.com/Ajays-Subhanpura-Baroda-106541595052679,"Shop No. 3, Silver Apartment, Opp Pujer Complex, Subhanpura, Vadodara, Gujarat 390023",https://goo.gl/maps/ajM1FJYtj3xqF1Ns7,12
62,NIZAMPURA, VADODARA,8799002055,https://www.facebook.com/Ajays-Nizampura-Baroda-110023708035276,"Shop No. 2, Fortune Global, Opp Ghelani Petrol Pump, Nizampura Main Road, Nizampura, Vadodara, Gujarat 390024",https://goo.gl/maps/95aXuvj8BDJ229U99,12
63,BHESTAN, SURAT,8799530975,https://www.facebook.com/Ajays-Bhestan-Surat-153432943508099/,"Shop No 1/2, 2, Bhestan-Jiav Rd, Someshwar Nagar - 1, Bhestan, Surat, Gujarat 395023",https://goo.gl/maps/AYeEbsWNT47HPzWQ8,8
64,TATA SCHOOL, NVS,6353534846,https://www.facebook.com/Ajays-Tata-School-Navsari-102700275452061,"Shop No. 4, Akashganga Apartment, Opp. Tata School, Navsari, Gujarat - 396445",https://goo.gl/maps/VjDQqbJRZ9MSGGn69,10
65,AMROLI, SURAT,9978697863,https://www.facebook.com/Ajays-Amroli-Surat-153278576852954,"Shop No. 31, Samarth Park, Near Amroli Char Rasta, Amroli, Surat, Gujarat - 394 107.",https://goo.gl/maps/6JK6uobJzuCwQahCA,11
66,PARDI KANDE, SURAT,8153964048,https://www.facebook.com/AjaysPardiKandeSachin/,"Shop No. G2, Goga Maharaj Complex, Surat Navsari Road, Opp Yogeshwar Park, Pardi Kande, Sachin, Surat, 394230",https://goo.gl/maps/iNagBVNMGubojYWn9,8
67,FATEHGUNJ,VADODARA,9875061329,https://www.facebook.com/AjaysFatehgunjBaroda/,"Shop No.16, Mangal Kirti Apartment, Opp. Fatehgunj Petrol Pump, Fatehgunj, Vadodara, Gujarat 390002",https://goo.gl/maps/j9AhC98JjzMMaeji9,10
68,CHALTHAN, SURAT,9924700513,https://www.facebook.com/AjaysChalthan/,"Shop No. 10, A-1, Shanti Sadan Apartment, Opp.Tekarawala School, Palanpur Patiya, Surat - 395009",https://goo.gl/maps/LX783SmimrN5k2cr7,9
69,PALANPUR PATIA, ADAJAN,9979512121,https://www.facebook.com/AjaysPalanpurPatia/,"Shop No. A3, Silicon Avenue, Near Bank of Baroda, Chalthan, Surat - 394305",https://maps.app.goo.gl/Mmmw1T4MrvXx35qW9,8
70,GOTRI,VADODARA,9173304084,https://www.facebook.com/AjaysGotriBaroda/,"Shop No 17, Darshanam Arise, Opp Osia Mall, Gotri - Sevasi Road, Gotri, Vadodara, Gujarat 391101",https://goo.gl/maps/tTxAkC6Hhqz7eLap7,10
71,A V ROAD, ANAND,7984055589,https://www.facebook.com/AjaysAVRoadAnand/,"Â Shop No. G-7,Â VimawalaÂ Arcade, Opp.H.P Petrol Pump, Near Big Bazar, A.V Road, Anand, Gujarat 388001",https://goo.gl/maps/AnuMxJsFWkMByvsn6,9
72,DUNGRI,DUNGRI,9875205506,https://www.facebook.com/AjaysDungri/,"Shop No - 4, Matruchhaya, Dungri Road, Opp. Sarvajanik High School, Dungri, Gujarat 396375",https://goo.gl/maps/oa8z2iZxhTjZXw236,9
73,VIP ROAD, KARELIBAUG,9033839333,https://www.facebook.com/AjaysKarelibagh/,"Shop No. 13, Veer Nagar,  Near Urjita Hospital, VIP main Road, Karelibaug, Vadodara, Gujarat 390018",https://goo.gl/maps/Me1vAUg8CFtq7vuB6,9
74,MOSALI,VADODARA,8780014002,https://www.facebook.com/AjaysMosaliSurat,"Shop no - 1483/ 2, Mosali Char Rasta, At. Post. Mosali, Tal, Mota Miya Mangrol, Gujarat 394421",https://goo.gl/maps/op6C3ufd7XArzky68,11
75,PARIVAR CHAR RASTA,VADODARA,7383871669,https://www.facebook.com/AjaysParivarCharRastaBaroda/,"Shop No.G-5, Divya Ashish Complex, Parivar Char Rasta, Waghodiya - Dabhoi Ring Road, Vadodara - 390025",https://goo.gl/maps/L5uQcMJYzih2spNc7,9
76,JETALPUR ROAD, ALKAPURI,8780771833,https://www.facebook.com/AjaysJetalpurRoad/,"Shop No. E2, Kashi Vishweshwar Township Complex, Jetalpur Road, Alkapuri, Vadodara 390007",https://goo.gl/maps/qNetp223c3Z5FH6p7,11
77,BABEN,BARDOLI,9825454853,https://www.facebook.com/AjaysBabenBardoli/,"Shop No. 47, Suken Residency, Baben, Bardoli, Gujarat 394601Z",https://goo.gl/maps/9TC3LuvVZ2CE384z5,11
78,HARINAGAR, VADODARA,7778966549,https://www.facebook.com/AjaysHarinagarVadodara,"Shop No. B/48, Sanket Park, Opp Isckon Temple, Harinagar, Vadodara 390021",https://goo.gl/maps/77mwTXhfoNpoLGX56,9
79,HANSOT ROAD, ANKLESHWAR,9328814298,https://www.facebook.com/AjaysHansotRoadAnkleshwar/,"Shop No. G-3, Tulsi Square, Hansot Road, Ankleshwar, Gujarat 393001",https://goo.gl/maps/F4goRmqyWkSMEyDX6,10
80,CHHANI JAKATNAKA, VADODARA,9634529369,https://www.facebook.com/AjaysChhaniJakatNaka/,"Shop No. GF-18, Fortune Gateway, Opp. Chhani Jakatnaka, Vadodara,Gujarat 391740",https://goo.gl/maps/e1eEx36WMskkzGjd9,12
81,BODELI,BODELI,8140211606,https://www.facebook.com/AjaysBodeli/,"Shop no. 1, DK Shopping Centre Beside Bank of Baroda, Dabhoi Road, Alipura, Bodeli, Gujarat 391135",https://goo.gl/maps/xdcwseeMVao4fwKD8,12
82,PIPLOD, SURAT,8401446385,https://www.facebook.com/AjaysPiplod/,"Shop no. 5, Vaishnodevi Co. Operative. Society,  Near Vijay Sales, Kargil Chowk, Piplod, Surat - 395007",https://goo.gl/maps/hQg7qH9sXBt2jEc29,10
83,SANGAM CHAR RASTA, VADODARA,9265296849,https://www.facebook.com/AjaysSangamCharRasta/,"Shop No.13, Lal Bahadur Shastri Shopping Centre, Sangam Char Rasta, Karelibagh, Vadodara, Gujarat 390022",https://goo.gl/maps/4Gztwj9yysvhCri39,8
84,UMA CHAR RASTA, VADODARA,9313930981,https://www.facebook.com/AjaysUmaCharRasta/,"Shop No. 6,  Patliputra Complex, Near Uma Char Rasta, Waghodiya, Vadodara 390019",https://goo.gl/maps/SNZzNqmRhtjo3kcr9,8
85,DR WORLD, SURAT,9104266122,https://www.facebook.com/ajaysdrworld,"Shop No. 12, Swagat Complex, Aai Mata Road, Opp. DR World, Parvat Patiya, Surat, Gujarat 395101",https://g.page/AjaysDRworld?share,11
86,TARSALI, VADODARA,9723998073,https://www.facebook.com/AjaysTarsali/,"Shop No. GF15, Nityanand Appartment, Tarsali Susen Circle Road, Tarsali, Vadodara, Gujarat 390009",https://goo.gl/maps/SAPbny6xr3QyAkXNA,11
87,KHODIYAR NAGAR, VADODARA,9408734514,https://www.facebook.com/AjaysKhodiyarNagar/,"Shop No. G8, Narayan Resicom, Near Vaikunth Society, New VIP Road, Khodiyar Nagar, Vadodara, Gujarat 390018",https://goo.gl/maps/tsg3Neu8iw9NGj9a6,8
88,PADRA, VADODARA,7016490292,https://www.facebook.com/AjaysPadraBaroda/,"Shop No. 1A/1485/2, Opp Padra New ST bus Stop, Padra, Vadodara -391440",https://goo.gl/maps/AWc8U5M5fPK9Wj7e9,12
89,VASNA ROAD, VADODARA,8401528018,https://www.facebook.com/Ajays-Vasna-Road-Baroda-105445825388664,"Shop No. 2, Surya Darshan Complex, Near Aditya Complex, Vasna, Vadodara - 390007",https://maps.app.goo.gl/v3Ru56jvz5y23bDfA,11
90,AJWA, VADODARA,9327262809,https://www.facebook.com/AjaysAjwa/,"Shop No.01, Divya Plaza Complex, Near Kamla Nagar, Ajwa Road, Vadodara - 390019",https://goo.gl/maps/ULnukapynM4YUq1D6,10
91,DINDOLI, SURAT,9104288707,https://www.facebook.com/AjaysDindoli,"Shop No.07, Prayosha Star, Dindoli - Kharvasa Road, Dindoli, Surat 394210",https://goo.gl/maps/iieS4Z2DHhHQp31D7,9
92,PAL, SURAT,7575050404,https://www.facebook.com/AjaysPalAdajan/,"Shop No.G/20 Raj Arcade, Pal Gam Circle Pal Gam, Adajan, Surat, Gujarat 395009",https://goo.gl/maps/gU1Q9sG55wgP4chD9,9
93,RAOPURA, VADODARA,9104386021,https://www.facebook.com/AjaysRaopura/,"Ground floor, Opp. Suryanarayanbaug, Near GPO, Raopura Road,  Raopura -390001",https://goo.gl/maps/noPrSaZ8L5yJgVzQ9,10
94,ABHILASHA CHAR RASTA, VADODARA,9499706067,https://www.facebook.com/AjaysAbhilashaCharRasta/,"Shop No.21-Gyankunj Society Vibhag-2, N/R Abhilasha Char Rasta, New Sama Road, Vadodara 390008",https://goo.gl/maps/1wpkNNmFCQa5MYjV9,11
95,VALIA, BHARUCH,9327110688,https://business.facebook.com/AjaysValiaBharuch/,"Shop No.1, Beside Valia Bus Depot Main Bazaar, Ankleshwar - Valia Rd, Valia, Gujarat 393135",https://goo.gl/maps/oGsDAK6ZVRhxydfm8,12
96,RANKUVA,Rankuva,7574892022,https://business.facebook.com/AjaysRankuvaNavsari/,"Shop No.5, Surbhi Shopping Center, Kharel - Tankal Road, Rankuva, Gujarat 396560",https://goo.gl/maps/d4JeTaBaWqxtUP3n8,8
97,RAJPIPLA,Rajpipla,9016727007,https://business.facebook.com/AjaysRajpiplaNarmada/,"Shop - 01, M.V Road, Santosh Chokdi, Opposite to Bank of Maharastra, Rajendra Nagar Society, Rajpipla, Gujarat 393145",https://goo.gl/maps/dvgFE6drzQqJNaAC6,9
98,AKOTA, VADODARA,8140806999,https://business.facebook.com/AjaysAkotaVadodara/,"Shop No - 1, Sangrila Complex Opposite HDFC Bank Near Radha Krishn Char Rasta, Akota, Vadodara, Gujarat 390020",https://goo.gl/maps/ii7CUrwdPAvwVqfp6,9
99,SOMNATH DAMAN,Nani Daman,7567755572,https://facebook.com/AjaysSomnathDaman/,"Shop No 1, Shidhvan Bhavan, Next to D Mart, Kalaria Circle, Somnath, Nani Daman - 396210",https://goo.gl/maps/MBLFrbefZsogokps6,8
100,KARJAN, VADODARA,8866958455,https://facebook.com/AjaysKarjanVadodara/,"Shop No - 2, Tower A, Gurumurti Complex, Near Sahjanand Bank, Nava Bazar, Karjan, Vadodara Gujarat - 391240",https://goo.gl/maps/kZ4866qw8jSu82JS7,11
101,GANDEVI, Gandevi,8320991108,https://www.facebook.com/AjaysGandeviNavsari/,"Shop No 12, Atmiya Complex, Opp. Mamlatdar Office, Gandevi - 396360",https://goo.gl/maps/LiFLfxWTxASZFvsx6,10
102,SAYAJIGUNJ, VADODARA,9313930952,https://www.facebook.com/AjaysSayajigunjVadodara/,"Badshah Building, Station Road, Near Dairy Den Circle, Sayajigunj, Vadodara - 390020",https://goo.gl/maps/NQyQomWBFgpXHBfk8,12
103,DABHOI, VADODARA,8799560027,https://www.facebook.com/AjaysDabhoiVadodara/,"Shop - 1 , Akshar Gold Complex, Dabhoi, Vadodra, Gujrat, 391110",https://goo.gl/maps/fJHT3rxbuK7ZyFX37,11
104,FATEHPURA, VADODARA,9409392120,https://www.facebook.com/AjaysFatehpuraVadodara/,"Shop No-2, Vrajdham Avenue, Koyli Faliya Naka Hathikhana Main Rd, Fatehpura, Mandvi Vadodara, Gujarat 390006",https://goo.gl/maps/GzqqN53kqj5hPrSS7,12
105,GORWA, VADODARA,9265989471,https://business.facebook.com/AjaysGorwaVadodara/,"Shop No-17, Siddharth Complex, Gujarat Refinery Road, Panchvati, Gorwa, Vadodara, Gujarat 390016",https://goo.gl/maps/qfboxxgNtNCf74hh8,10
106,KIRTI STAMBH, VADODARA,9099704007,https://www.facebook.com/AjaysKirtiStambhVadodara/,"Shop No - GF 2, Prathamesh Plaza, Palace Road, Near Kirti Stambh, Mahavir Colony, Kevdabaug, Vadodara, Gujarat 390001",https://goo.gl/maps/erFBYW4aCLtKGuzt7,8
107,MANEJA CROSSING, VADODARA,8511188915,https://www.facebook.com/AjaysManejaCrossingVadodara/,"Shop No - 3, Aatmiya Heights, Maneja Crossing Makarpura Main Road Vadodara 390013",https://goo.gl/maps/YYiwzyvpAjwrD1GH6,10
108,BAKROL, ANAND,9879421604,https://www.facebook.com/AjaysBakrolAnand/,"Shop No - G-39, Bakrol Square, Bakrol - Vadtal Road, Beside Vaibhav Cinema, Purushottam Nagar, Anand, Gujarat 388315",https://goo.gl/maps/dwN17C94Wp8xEA6Q9,11
109,CHOKHANDI, VADODARA,9173804846,https://www.facebook.com/AjaysChokhandiVadodara,"Shop No.749, Jasud Maholla, Chokhandi Main Road, Chokhandi, Vadodara, Gujarat 390017",https://maps.app.goo.gl/7P5PPWrJ9mCXJgka8,9
110,MOTA BAZAAR, VIDHYANAGAR-ANAND,7859967546,https://www.facebook.com/AjaysMotaBazaarVidyanagarAnand/,"Ground floor, Mota Bazaar, Opposite Ajay Book Stall, Vallabh Vidhyanagar Road, Anand, Gujarat - 388120",https://goo.gl/maps/b2zKhpG4tkLGN5kFA,11
111,BORSAD, ANAND,8160983783,https://www.facebook.com/AjaysBorsadAnand/,"Shop No. GF 2, Shiv Icon, Anand Chowkdi, opp. Swaminarayan Temple, Kesav Nagar, Ramnath Society, Borsad, Gujarat 385540",https://goo.gl/maps/Da1dPxkww9z9YSDYA,8
